Locality,Locality_details,YYYY,MM,DD,DNA_extract,lat,lon,H6_str,HUC_8,HUC_10,HU_10_NAME,HU_8_Name,img_url,geometry
SFA-CAMI,Camino Adit,2016,6,8,NA,38.811511,-120.57871,180201,18020129,1802012902,NA,South Fork American,NA,"c(-120.57871, 38.811511)"
MFA-GASC,Gas Canyon,2016,6,10,NA,38.966512,-120.932521,180201,18020128,1802012805,NA,North Fork American,NA,"c(-120.932521, 38.966512)"
NFA-BUNC,Bunch Canyon,2016,6,13,NA,39.037618,-120.91028,180201,18020128,1802012806,NA,North Fork American,NA,"c(-120.91028, 39.037618)"
NFA-POND,Upstream Ponderosa Bridge,2016,7,12,61,38.999947,-120.940596,180201,18020128,1802012806,NA,North Fork American,NA,"c(-120.940596, 38.999947)"
NFA-SLAR,Slaughter Ravine US IH Road,2016,7,12,84,39.098653,-120.925481,180201,18020128,1802012801,NA,North Fork American,NA,"c(-120.925481, 39.098653)"
MFY-US-OH,Upstream OH Dam,2016,7,19,71,39.413048,-120.990346,180201,18020125,1802012505,NA,Upper Yuba,NA,"c(-120.990346, 39.413048)"
NFA-SHIC,Shirttail Canyon,2016,7,21,103,39.04073,-120.901354,180201,18020128,1802012806,NA,North Fork American,NA,"c(-120.901354, 39.04073)"
NFA-INDC,Indian Creek,2016,7,21,100,39.056651,-120.908539,180201,18020128,1802012801,NA,North Fork American,NA,"c(-120.908539, 39.056651)"
NFA-EUCHDS,Euchre DS,2016,8,9,292,39.18492,-120.76204,180201,18020128,1802012801,NA,North Fork American,NA,"c(-120.76204, 39.18492)"
NFA-EUCHUS,Euchre US,2016,8,9,274,39.18444,-120.75049,180201,18020128,1802012801,NA,North Fork American,NA,"c(-120.75049, 39.18444)"
NFA-NFNFA,NFNF American,2016,8,9,273,39.18839,-120.75921,180201,18020128,1802012801,NA,North Fork American,NA,"c(-120.75921, 39.18839)"
ROG-EFIR,Rogue EF Illinois River,2016,7,29,42,42.162175,-123.656226,171003,17100311,1710031103,NA,Illinois,NA,"c(-123.656226, 42.162175)"
S. Umpqua River,1.2 mi. upriver from Tiller Trail Hwy in bedrock pools Douglas,2001,7,12,NA,42.935,-122.939,171003,17100302,1710030203,Dumont Creek-South Umpqua River,NA,NA,"c(-122.939, 42.935)"
Redwood Creek via Tom McDonald Ck,park location 11.4 from M-line intersection end of road,NA,NA,NA,NA,41.23419952,-124.0170975,180101,18010102,1801010201,NA,Mad-Redwood,NA,"c(-124.0170975, 41.23419952)"
Redwood Creek,"Tall Trees via Tom McDonald Creek,  Park location 7.1 mi from midline int. end of road",NA,NA,NA,345,41.20780182,-124.0112,180101,18010102,1801010201,NA,Mad-Redwood,NA,"c(-124.0112, 41.20780182)"
Halleck Creek,west of stream crossing at Halleck Creek Riding Club 3.5 km E of Nicasio Valley Rd,NA,NA,NA,354,38.07649994,-122.6679993,180500,18050005,1805000501,NA,Tomales-Drake Bays,NA,"c(-122.6679993, 38.07649994)"
Nicasio Creek,Nicasio,NA,NA,NA,NA,38.05419922,-122.6921005,180500,18050005,1805000501,NA,Tomales-Drake Bays,NA,"c(-122.6921005, 38.05419922)"
S. Santiam River,aprox 6 km. upstream of Foster Reservoir and 14 km upstream of Sweet Home Linn,2001,9,12,NA,44.36750031,-122.625,170900,17090006,1709000605,Wiley Creek,NA,NA,"c(-122.625, 44.36750031)"
